iter	RMSE
883	473502.4507
884	473220.8421
885	473034.5604
886	472869.0279
887	472826.4476
888	472679.5813
889	472287.3615
890	471454.6205
891	471321.7404
892	470949.5249
893	470648.1831
894	470119.3857
895	469967.8949
896	469603.0676
897	469555.5034
898	468758.5007
899	468434.7003
900	468091.7544
901	467801.3081
902	467189.3327
903	466910.7919
904	466305.8826
905	465991.5772
906	465895.0241
907	465743.1
908	465363.6544
909	465207.6052
910	465111.8888
911	464796.5189
912	464294.4698
913	463795.6437
914	463641.526
915	463468.9588
916	463358.0134
917	462927.3633
918	462495.0351
919	462180.5915
920	462047.0298
921	461750.0474
922	461456.137
923	461418.0836
924	460981.8448
925	460909.0679
926	460765.9079
927	460648.9782
928	460524.2705
929	460405.015
930	459907.0333
931	459762.227
932	459641.0614
933	459465.1256
934	459379.1333
935	459119.9835
936	458989.5375
937	458918.4031
938	458784.1451
939	458779.1359
940	458711.8921
941	458577.3816
942	458458.34
943	458357.1437
944	458069.1178
945	457809.9907
946	457663.6823
947	457557.646
948	457187.4839
949	457104.2312
950	456670.8966
951	456174.326
952	456031.3529
953	455786.1327
954	455783.4841
955	455778.4504
956	455644.592
957	455638.086
958	455137.2999
959	455029.0914
960	454726.8983
961	454375.506
962	453873.5398
963	453788.0298
964	453549.7711
965	453194.56
966	452906.1346
967	452712.5269
968	452708.0543
969	452382.4807
970	452165.441
971	451975.7189
972	451686.1443
973	451240.1158
974	451161.727
975	450978.1624
976	450973.069
977	450742.6863
978	450666.0261
979	450385.2131
980	449927.6514
981	449922.4045
982	449901.9805
983	449896.5029
984	449786.0126
985	449591.4612
986	449336.835
987	449224.8719
988	449042.6613
989	448822.9894
990	448579.3521
991	448385.6776
992	447866.3322
993	447681.6865
994	447577.9715
995	447406.1815
996	447183.709
997	446972.9232
998	446759.2984
999	446497.0058
